2017-05-04 08:53:32,862 INFO  [main] spark.SparkContext (Logging.scala:logInfo(54)) - Running Spark version 2.1.0
2017-05-04 08:53:33,291 WARN  [main] util.NativeCodeLoader (NativeCodeLoader.java:<clinit>(62)) - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2017-05-04 08:53:33,404 WARN  [main] spark.SparkConf (Logging.scala:logWarning(66)) - 
SPARK_CLASSPATH was detected (set to ':/usr/local/hive/lib/mysql-connector-java-5.1.41-bin.jar:/usr/local/spark/lib/drools/*:/usr/local/spark/lib/protobuf/*:/usr/local/hive/lib/mysql-connector-java-5.1.41-bin.jar:/usr/local/spark/lib/drools/*:/usr/local/spark/lib/protobuf/*').
This is deprecated in Spark 1.0+.

Please instead use:
 - ./spark-submit with --driver-class-path to augment the driver classpath
 - spark.executor.extraClassPath to augment the executor classpath
        
2017-05-04 08:53:33,405 WARN  [main] spark.SparkConf (Logging.scala:logWarning(66)) - Setting 'spark.executor.extraClassPath' to ':/usr/local/hive/lib/mysql-connector-java-5.1.41-bin.jar:/usr/local/spark/lib/drools/*:/usr/local/spark/lib/protobuf/*:/usr/local/hive/lib/mysql-connector-java-5.1.41-bin.jar:/usr/local/spark/lib/drools/*:/usr/local/spark/lib/protobuf/*' as a work-around.
2017-05-04 08:53:33,405 WARN  [main] spark.SparkConf (Logging.scala:logWarning(66)) - Setting 'spark.driver.extraClassPath' to ':/usr/local/hive/lib/mysql-connector-java-5.1.41-bin.jar:/usr/local/spark/lib/drools/*:/usr/local/spark/lib/protobuf/*:/usr/local/hive/lib/mysql-connector-java-5.1.41-bin.jar:/usr/local/spark/lib/drools/*:/usr/local/spark/lib/protobuf/*' as a work-around.
2017-05-04 08:53:33,456 INFO  [main] spark.SecurityManager (Logging.scala:logInfo(54)) - Changing view acls to: root
2017-05-04 08:53:33,457 INFO  [main] spark.SecurityManager (Logging.scala:logInfo(54)) - Changing modify acls to: root
2017-05-04 08:53:33,458 INFO  [main] spark.SecurityManager (Logging.scala:logInfo(54)) - Changing view acls groups to: 
2017-05-04 08:53:33,458 INFO  [main] spark.SecurityManager (Logging.scala:logInfo(54)) - Changing modify acls groups to: 
2017-05-04 08:53:33,459 INFO  [main] spark.SecurityManager (Logging.scala:logInfo(54)) - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(root); groups with view permissions: Set(); users  with modify permissions: Set(root); groups with modify permissions: Set()
2017-05-04 08:53:33,849 INFO  [main] util.Utils (Logging.scala:logInfo(54)) - Successfully started service 'sparkDriver' on port 40766.
2017-05-04 08:53:33,874 INFO  [main] spark.SparkEnv (Logging.scala:logInfo(54)) - Registering MapOutputTracker
2017-05-04 08:53:33,906 INFO  [main] spark.SparkEnv (Logging.scala:logInfo(54)) - Registering BlockManagerMaster
2017-05-04 08:53:33,910 INFO  [main] storage.BlockManagerMasterEndpoint (Logging.scala:logInfo(54)) - Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
2017-05-04 08:53:33,910 INFO  [main] storage.BlockManagerMasterEndpoint (Logging.scala:logInfo(54)) - BlockManagerMasterEndpoint up
2017-05-04 08:53:33,934 INFO  [main] storage.DiskBlockManager (Logging.scala:logInfo(54)) - Created local directory at /tmp/blockmgr-cd53068b-4eee-4c4f-80d5-3e293ab4c720
2017-05-04 08:53:34,027 INFO  [main] memory.MemoryStore (Logging.scala:logInfo(54)) - MemoryStore started with capacity 366.3 MB
2017-05-04 08:53:34,123 INFO  [main] spark.SparkEnv (Logging.scala:logInfo(54)) - Registering OutputCommitCoordinator
2017-05-04 08:53:34,218 INFO  [main] util.log (Log.java:initialized(186)) - Logging initialized @2299ms
2017-05-04 08:53:34,335 INFO  [main] server.Server (Server.java:doStart(327)) - jetty-9.2.z-SNAPSHOT
